book_id,title,author,date,categorized_subject,description,preface
fran,La Cuisine Française French Cooking for Every Home Adapted to American Requirements,['François Tanty'],1893,French,The soups. The hors d'oeuvres. Fish and shell fish. Eggs. The meats. Poultry. Game. Vegetables. Sweet dishes.,"HOW TO SET A TABLE. AT first glance nothing pleases the eye of a guest more than a well set table, that is to say, where elegance is combined with good taste. On that matter Americans need very little advice, because, as a rule, they are very fond of fine linen and decorations of fruit and flowers. Therefore, we will give only practical hints, taking as example a dinner quite fashionable, leaving to the housewife the care of simplifying the same for family dinners. The table should be spacious enough to avoid the crowding of dishes or covers, and to permit the guests being comfortably seated. There are many ways of decorating a table, the following being the one our experience has proven to be the best: Place a center piece of flowers, around which (and according to the size of the table) may be disposed smaller pieces of flowers, fruits, bon-bons, etc., and also the ""Hors d'Oeuvres"" served in special small dishes. Candle light being more fashionable than gas, and also more beautifying for the ladies, candelabra should be placed in sufficient number. Before each plate place the necessary number of glasses, of different sizes, according to the wines that are to be served; this number not to surpass five, viz: A glass for water. A glass for white wine, claret and burgundy. A glass for madeira, sherry and sweet dessert wines. A glass for Rhine wine (if served). * A glass or cup for champagne. Don't fill the water glass before the dinner, but place decanters At the right sharp steel Before the cover a set of smaller knife, fork and spoon for the sweet dishes and dessert. This last knife should have a silver blade. *This glass is usually green or amber. The napkin should be of good size, placed on the plate, Between each cover should be a salt cellar; for the pepper the best is to have some pepper mills white Before each cover, and supported by the glass should be a ""Menu"" (bill of fare) printed or hand-written; it will prove more convenient if on each card you write the name of the particular guest who will occupy the place. The meats should be carved in the kitchen, but the parts put together in a way to represent the whole piece; they will be distributed by the host or the hostess, or, better, the dish shall be presented at the left In every dinner ""á la Française"" wine is served; the number, kinds and quality varying of course according to the importance of the dinner. This is the general order in which they are served, viz: After the soup.--A strong dry wine such as madeira, or sherry. With the fish.--A white dry wine such as Sauternes, Chablis, Chateau d'Yquem, Rhine wine, etc. After the fish and until the roast.--Claret. With the roast.--Burgundy. With sweet dishes.--Champagnes or dessert wines such as Tokay, Malaga, Constance, etc. As a last advice, remember the old adage: ""The dinner should never await the guests, but the guests the dinner, because, however well cooked, a dish cannot be warmed over."" An illustration of three pigs playing musical instruments in a barn yard with with ducks, a rooster and rabbit looking on."
frca,"The Frugal Housewife, or Complete Woman Cook;Also The Making of English Wines",['Sussannah Carter'],1803,English,"Complete title: The Frugal Housewife, or Complete Woman Cook; wherein the Art of Dressing All Sorts of Viands is Explained in Upwards of Five Hundred Approved Receipts, in Gravies, Sauces, Roasting, Boiling, Frying, Broiling, Potting, Collaring, Preserving, Diving, Pickling, Stews, Hashes, Soups, Fricassees, Ragouts, Pastries, Pies, Tarts, Cakes, Puddings, Syllabubs, Creams, Flummery, Jellys, Giams, Custarts, &c. Also The Making of English Wines.",
gtte,"Good Things to Eat, As Suggested By Rufus",['Rufus Estes'],1911,AfricanAmerican,"Complete title: Good Things to Eat, As Suggested By Rufus; A Collection of Practical Recipes for Preparing Meats, Game, Fowl, Fish, Puddings, Pastries, Etc.","FOREWORD  A large illustrative T. Behind the T, a woman places a finished pie on a shelf. The recipes given in the following pages represent the labor of years. Their worth has been demonstrated, not experimentally, but by actual tests, day by day and month by month, under dissimilar, and, in many instances, not too favorable conditions. One of the pleasures in life to the normal man is good eating, and if it be true that real happiness consists in making others happy, the author can at least feel a sense of gratification in the thought that his attempts to satisfy the cravings of the inner man have not been wholly unappreciated by the many that he has had the pleasure of serving--some of whom are now his staunchest friends. In fact, it was in response to the insistence and encouragement of these friends that he embarked in the rather hazardous undertaking of offering this collection to a discriminating public. To snatch from his daily toil a few moments, here and there, in order to arrange with some degree of symmetry, not the delicacies that would awaken the jaded appetite of the gourmet, but If, when gathered around the festal board, in camp or by fire-side, on train or ship, ""trying out"" the recipes, his friends will pause, retrospectively, and with kindly feelings think from whence some of the good things emanated, the author will feel amply compensated for the care, the thought, the labor he has expended in the preparation of the book; and to those friends, individually and collectively, it is therefore dedicated."
hand,"Hand-Book of Practical Cookery, for Ladies and Professional Cooks Containing The Whole Science and Art of Preparing Human Food",['Pierre. Blot'],1868,French,"Cooking; Directions, Explainations, etc.; Divers Receipts; Potages or Soups; Sauces; Farces and Garnitures; Fish; Beef; Mutton; Veal; Pork; Poultry; Game; Vegetables; Eggs, Macaroni, and Rice; Sweet Dishes; Pastry; Bills of Fare; Index.","PREFACE. FOOD is the most important of our wants; we cannot exist without it. The man who does not use his brain to select and prepare his food, is not above the brutes that take it in its raw state. It is to the physique what education is to the mind, coarse or refined. Good and well-prepared food beautifies the physique the same as a good and well-directed education beautifies the mind. A cook-book is like a book on chemistry, it cannot be used to any advantage if theory is not blended with practice. It must also be written according to the natural products and climate of the country in which it is to be used, and with a perfect knowledge of the properties of the different articles of food and condiments. Like many other books, it is not the size that makes it practical; we could have made this one twice as large as it is, without having added a single receipt to it, by only having given separate ones for pieces of meat, birds, fishes, etc., that are of the Although cookery has made more progress within two or three years, in this country as well as in Europe, than it had since 1830, and although all our receipts are complete, practical, wholesome, and in accordance with progress, still they are simple. Our aim has been to enable every housekeeper and professional cook, no matter how inexperienced they may be, to prepare any kind of food in the best and most wholesome way, with economy, celerity, and taste; and also to serve a dinner in as orderly a manner as any steward can do. We did not intend to make a book, such as that of CARÈME, which cannot be used at all except by cooks of very wealthy families, and with which one cannot make a dinner costing less than twenty dollars a head. Such a book is to housekeepers or plain cooks what a Latin dictionary is to a person of merely elementary education. If we give so many different ways of preparing the same article of food, it is not with a view to complicate cookery, but people's taste is in food as in dress, differing not only in the selection of colors, but also in shape; therefore, by our variety of dishes and our different styles of decorating them; by the ease Our division of cookery and the system of arranging bills of fare, TO HOUSEKEEPERS AND COOKS. A cook-book cannot be used like a dictionary; a receipt is like a rule of grammar: to comprehend it thoroughly, it is indispensable to understand others. The author, therefore, earnestly recommends to his readers to begin by perusing carefully the directions, etc., at the beginning of the book, and also the explanations given on and heading the different articles of food, before attempting the preparation of a dish for the first time. They will thus soon be able to prepare any dish by merely reading the receipt. If all the explanations necessary were given at every receipt, this work would have filled more than ten volumes like the present. We are aware that the study of cookery is as uninviting and dry as the study of grammar at first; so is the study of every science and even art; but it becomes comparatively easy and interesting after a while. Mere flourish in a receipt would have the same effect as in a rule of grammar. TO COOKS. We think the following friendly recommendations will not be out of place here. They are in the interest of both the housekeeper and the cook: Make use of every thing good. Waste nothing, however little it may be. Have no prejudices. Be careful, clean, and punctual. Always bear in mind that routine is the greatest enemy of progress, and that you have agreed to faithfully perform your daily duties for a certain consideration. PIERRE BLOT. NEW YORK, August,"
henr,Henriette Davidis' Practical Cook Book Compiled For The United States From The Thirty-Fifth German Edition,['Henriette Davidis'],1897,German,Henriette Davidis' Practical Cook Book Compiled For The United States From The Thirty-Fifth German Edition.  Containing An Appendix Of Receipts For Dishes Prepared In Styles Peculiar To Cooking As Done In This Country.  With The German Weights and Measures According To The American System.  Supplemented By An English-German And German-English Vocabulary Of Culinary Terms.,
hote,"Hotel Keepers, Head Waiters, and Housekeepers' Guide",['Tunis Gulic Campbell'],1848,AfricanAmerican,Dinner. Drill. Division of Work. Lunches. Dress. Regulations for General and Squad Drills. General Remarks. Explanation of Plates. Courses. Recipes. Conclusion. Certificates.,
hous,The House Servant's Directory,['Robert. Roberts'],1827,AfricanAmerican,"Complete title: The House Servant's Directory, or A Monitor for Private Families: Comprising Hints on the Arrangement and Performance of Servants' Work, with General Rules for Setting Out Tables and Sideboards in First Order; the Art of Waiting in all its Branches; and Likewise How to Conduct Large and Small Parties with Order; with General Directions for Placing on Table All Kinds of Joints, Fish, Fowl, &c. with Full Instructions for Cleaning Plate, Brass, Steel, Glass, Mahogany; and Likewise All Kinds of Patent and Common Lamps: Observations on Servants' Behaviour to their Employers; and Upwards of 100 Various and Useful Receipts, Chiefly Compiled for the Use of House Servants; and Identically Made to Suit the Manners and Customs of Families in the United States.",
ital,The Italian Cook Book: The Art of Eating Well,['Maria Gentile'],1919,Italian,"Complete title: The Italian Cook Book: The Art of Eating Well. Practical Recipes of the Italian Cuisine: Pastries, Sweets, Frozen Delicacies, and Syrups.","PREFACE One of the beneficial results of the Great War has been the teaching of thrift to the American housewife. For patriotic reasons and for reasons of economy, more attention has been bestowed upon the preparing and cooking of food that is to be at once palatable, nourishing and economical. In the Italian cuisine we find in the highest degree these three qualities. That it is palatable, all those who have partaken of food in an Italian trattoria It has therefore been thought that a book of PRACTICAL RECIPES OF THE ITALIAN CUISINE could be offered to the American public with hope of success. It is not a pretentious book, and the recipes have been made as clear and simple as possible. Some of the dishes described are not peculiar to Italy. All, however, are representative of the Cucina Casalinga"
jenn,Jennie June's American Cookery Book,['Jane Cunningham Croly'],1866,Jewish,"Complete title: Jennie June's American Cookery Book, Containing Upwards of Twelve Hundred Choice and Carefully Tested Receipts; Embracing All the Popular Dishes, and the Best Results of Modern Science, Reduced to a Simple and Practical Form. Also, a Chapter for Invalids, for Infants, one on Jewish Cookery; and a Variety of Miscellaneous Recipts of Special Value to Housekeepers Generally.","TO THE READER A NEW edition gives me the opportunity to add a chapter to this little work, which, I hope, will give it additional interest and value, and also to offer a word of apology and explanation to my readers. A longer experience has demonstrated one error, which is of such importance to young mothers that I desire to correct it here. This is in regard to diluting pure. All that I have to say in regard to the receipts contained in the additional chapter is, that they are genuine, and were obtained directly, excepting in one instance, (where it was furnished by a friend,) from the parties themselves. All that I have to beg of young housekeepers is, that they will try them with their own hands, and not turn them over to the tender mercies of Bridget. It is not the personal extravagance of American women that is sapping the foundation of American homes. It is the disintegrating quality of our domestic service. JENNIE JUNE CROLY."
jewi,The International Jewish Cook Book,['Florence Kreisler. Greenbaum'],1918,Jewish,"Complete title: The International Jewish Cook Book: 1600 Recipes According to The Jewish Dietary Laws with the Rules for Kashering. The Favorite Recipes of America, Austria, Germany, Russia, France, Polland, Roumania, Etc., Etc.","PREFACE In compiling these recipes every effort has been made to bear in mind the resources of the Jewish kitchen, as well as the need of being economical and practical. The aim throughout has been to lay special emphasis on those dishes which are characteristically Jewish--those time-honored recipes which have been handed down the generations by Jewish housewives (for the Sabbath, Passover, etc.). But the book contains a great many other recipes besides these, for the Jewish cook is glad to learn from her neighbors. Here will be found the favorite recipes of Germany, Hungary, Austria, France, Russia, Poland, Roumania, etc.; also hundreds of recipes used in the American household. In fact, the book contains recipes of every kind of food appealing to the Jewish taste, which the Jewish housewife has been able to adapt to the dietary laws, thus making the Cook Book truly International. The manner of presentation is clear and simple, and if directions are followed carefully, will insure success to the inexperienced housewife. For the book has been largely planned to assist her in preparing wholesome, attractive meals; to serve the simplest as well as the most elaborate repast--from appetizer to dessert--without transgressing the dietary laws. At the same time the book offers many valuable suggestions and hints to the most expert cook. In this book are also directions for making meat substitutes and many economies of the hour, which have been added to meet the needs of the present day."
matf,Mary at the Farm and Book of Recipes,['Edith M. Thomas'],1915,German,"Complete title: Mary at the Farm and Book of Recipes Compiled During Her Visit Among the ""Pennsylvania Germans""","PREFACE The incidents narrated in this book are based on fact, and, while not absolutely true in every particular, the characters are all drawn from real life. The photographs are true likenesses of the people they are supposed to represent, and, while in some instances the correct names are not given (for reasons which the reader will readily understand), the various scenes, relics, etc., are true historically and geographically. The places described can be easily recognized by any one who has ever visited the section of Pennsylvania in which the plot (if it can really be called a plot) of the story is laid. Many of the recipes given Mary by Pennsylvania German housewives, noted for the excellence of their cooking, have never appeared in print. THE AUTHOR."
neig,The Neighborhood Cook Book,['Council of Jewish Women'],1914,Jewish,"Appetizers. Beverages, Hot and Cold. Breakfast Dishes. Bread, Biscuits, etc. Cakes. Canning. Confectionary. Coffee Cake or Kuchen. Cookies. Desserts. Directions for Serving Dinner. Entrees. Fish. Fillings and Icings for Cakes. Game. Household Hints. Ice Cream and Frozen Dainties. Invalid Cookery. Jellies, Jams, Preserves and Marmalades. Meats. Pastries and Pies. Pickles. Poultry. Puddings and Desserts. Salads and Dressings. Sandwiches. Sauces for Fish and Meats. Sauces for Puddings. Shell Fish and Shell Fish Entrees. Soups and Ingredients. Vegetables. Wines and their proper usage.","The first edition of the Neighborhood Cook Book was issued in December, 1912, and exhausted within ten months. So great has been the demand from all parts of the United States, that the Council decided to issue a second edition in 1914. The book has been revised and enlarged, many choice recipes being added, and we hope for its continued success. FLORA K. LIPPITT"
