book_id,title,author,date,categorized_subject,description,preface
coow,The Cook's Own Book,['N. K. M. Lee'],1832,American,"Complete title: The Cook's Own Book: Being A Complete Culinary Encyclopedia: Comprehending all Valuable Receipts for Cooking Meat, Fish, and Fowl, and Composing Every Kind of Soup, Grvy, Pastry, Preserves, Essences, & c. that have been Published or Invented During the Last Twenty Years. Particularly the Very Best of Those in the Cook's Oracle, Cook's Dictionary, and other systems of Domestic Economy. With Numerous Original Receipts, and a Complete System of Confectionary.","PREFACE. THE cook exercises a greater power over the public health and welfare than the physician, and if he should be a charlatan in his art, alas! for his employers. Hitherto, or until of late years, the cook has had to educate himself, while the physician appropriates all the knowledge of antiquity, and of every succeeding age; his individual cases are all classed according to general principles, while the rules that have regulated the preparation of our food, have been discordant and unnatural. In the present age, indeed, cookery has been raised to the dignity of an art, and sages have given their treatises to the world. Vèry has a monument in the cemetery of Père La Chaise, among the tombs of warriors, poets, and philosophers, recording of his life that 'it was consecrated to the useful arts.' Virgil however, writes that the best delights of Elysium were showered upon those who received wounds for their country, who lived unspotted priests, who uttered verses worthy of Apollo, or who, like Vèry, consecrated their lives to the useful arts. On the utilitarian principle the cook should be much elevated in public estimation, and were he to form a strict alliance with the physician, the patriarchal ages would return, and men would die of nothing but sheer old age. After insanity, the most grievous affliction of Providence, or rather of improvidence and imprudence, is Dyspepsy: a malady that under different names has decimated the inhabitants of civilized countries, and of almost all countries, in which man is a 'cooking animal.' To the dyspeptic, the sun has no cheering ray, the air no elasticity or balm; the flowers are without fragrance, music is without melody, and beauty without charms. Life is a blank; affection has lost its power to soothe, and the blessings scattered by Providence, are converted into ministers of torment. Food becomes a bane; the very staff that supports life, gives the flagellation that renders life a curse. All that can delight is lost,--but all that can depress and sting, has a tenfold activity and power. The dyspeptic's 'May of life, has fallen into the sear, the yellow leaf.' Sleep that should visit every pillow but that of guilt, is to him no friend; if he slumbers, it is to dream, like Clarence, of hideous forms of suffering, and to wake to their reality. This is but a faint picture of Dyspepsy. 'Her gloomy presence saddens all the scene, This malady is beyond the science of the physician, but within the art of the cook; in the proverb, Doctor Diet is ranked above Doctor Quiet and Doctor Merryman; though all are good. The late Mr. Abernethy referred almost all maladies to the stomach, and seldom prescribed any remedy but a proper diet. This it is the province of the cook to provide; and the design of this book to indicate. The work is not designed to spread a taste for pernicious luxuries: and every recipe has been sanctioned by custom. The responsibility of the cook is lightened, and his duty facilitated. He has here a dictionary of reference, an encyclopedia of his art. The details are full, and the authority is perfect. There were various works of merit that it was useful for the cook to study, but here are collected the best parts of all, with the convenience of alphabetical arrangement, and in the compass of a moderate volume. If it is a sin to waste the best gifts of Providence, it should be little less than a felony to spoil them. When we have collected the materials for a house, we never trust the building to an unskilful architect: yet we are often obliged to commit the preparation of our feasts as well as of our common food, to agents without knowledge. This knowledge is now supplied. More than health depends on the proper preparation of food: our very virtues are the creatures of circumstances, and many a man has hardened his heart, or given up a good resolution, under the operation of indigestion. Who that knows the world, ever solicits with confidence a friendly or charitable act of another before dinner. The natural and moral world world are reciprocally dependent; soul and body are so linked, that when one loses its tone the other is deprived of its equanimity. The system of morals therefore becomes identified with that of cookery, and the great English moralist, who was learned in both systems, thus spoke of the connexion; 'Some people' said Doctor Johnson, 'have a foolish way of not minding, or of pretending not to mind, what they eat. I for my part mind my belly very studiously, and very carefully, and I look upon it that he who does not mind his belly will hardly mind any thing else.' It has been the study of the author, to make every recipe plain, and the proportions certain; little is left to discretion, that could be reduced to measure. The system of confectionery is perfect; and if strictly followed every cook may become a first rate confectioner. Labor, care, and expense have been bestowed upon the work, and the publishers feel so secure of its merit, and of the public want of such a book, that they have caused it to be stereotyped. This would have been hazardous with a novel or almost any literary work; but the number of those who eat is far greater than of those who read. A good book few can estimate; all can enjoy a good dinner, and the publishers anticipate a proportionate encouragement. Having devised this work for families, we hope that it may offend no one, that we give a word of counsel to domestics: our book may be every way good, yet will its usefulness be much impaired if domestics are not docile and faithful. We have fortunately, in this country, but one class of people: all are free, and all are politically equal. Our domestics are in New England designated as help servants The number of domestics is very large--perhaps the average is five to four families--and it may be even greater. Yet, unfortunately for their welfare, interest, or character, they are almost constantly shifting, and in few families do they remain long. In England, a good domestic is often provided for during life, and it is a desirable situation. It might be so here, if our domestics would strive to accommodate themselves to their situation. There is hardly a family, in which a kind, respectful, and faithful domestic might not be retained for years, and at the best wages. Here then is a home, comfort, and friends. Yet the greater number are contented to live a few months in a place, till the best years of life have slipped away, without provision for age, and without friends, or home. The proverb of the rolling stone contains the best lesson for domestics. Service in any department is no sacrifice of independence. A domestic is in all things as free as any other class, but it is a bad kind of independence that would lead one, when desired to do a Minor vexations, frequently repeated, are equal to greater individual calamities; as many small enjoyments constitute much of the pleasures of life. Around the social board every member of the family is collected thrice at least in twenty-four hours. Thither the head of the family returns from the labors or cares of his business to recruit his strength and to relax his mind. If he return to a table constantly and invariably ill spread; to a dinner to which he could invite no friend, and in which he can have no enjoyment; a cloud will gather on the calmest brow, and a feeling of dissatisfaction may be extended to other things. It is not beneath the solicitude of a good wife, who would not suffer any abatemen in the affection of which she is the object, diligently to study this book, and constantly to provide a neat and well dressed repast. BOSTON, March, 1832. *** The articles which follow, on Roasting, Boiling, &c. are selected from the Cook's Oracle."
creo,La Cuisine Creole,['Lafcadio Hearn'],1885,American,"Complete title: La Cusine Creole, a Collection of Culinary Recipes From Leading Chefs and Noted Creole Housewives, Who Have Made New Orleans Famous for Its Cuisine.",
dcvb,"Directions for Cookery, in its Various Branches",['Eliza Leslie'],1840,American,Soups. Fish. Shell Fish. Veal. Mutton and Lamb. Pork. Venison. Poultry and Game. Gravy and Sauces. Store Fish Sauces. Vegetables. Eggs. Pickling. Sweetmeats. Pastry and Puddings. Syllabubs. Cakes. Warm Cakes for Breakfast and Tea. Domestic Liquors. Preparations for the Sick. Perfumery. Miscellaneous Receipts. Additional Receipts. Animals used as Butchers' Meat. Index.,"PREFACE. THE success of her little book entitled ""Seventy-five Receipts in Cakes, Pastry, and Sweetmeats."" has encouraged the author to attempt a larger and more miscellaneous work on the subject of cookery, comprising as far as practicable whatever is most useful in its various departments; and particularly adapted to the domestic economy of her own country. Designing it as a manual of American housewifery, she has avoided the insertion of any dishes whose ingredients cannot be procured on our side of the Atlantic, and which require for their preparation utensils that are rarely found except in Europe. Also, she has omitted every thing which may not, by the generality of tastes, be considered good of its kind, and well worth the trouble and cost of preparing. The author has spared no pains in collecting and arranging, perhaps the greatest number of practical and original receipts that have ever appeared in a similar work; flattering herself that In the hope that her system of cookery may be consulted with equal advantage by families in town and in country, by those whose condition makes it expedient to practise economy, and by others whose circumstances authorize a liberal expenditure, the author sends it to take its chance among the multitude of similar publications, satisfied that it will meet with as much success as it may be found to deserve,--more she has no right to expect. Philadelphia, April th,"
dish,Dishes & Beverages of the Old South,['Martha McCulloch-Williams'],1913,American,"Grace before Meat. The Staff of Life. Saving Your Bacon. Hams and Other Hams. For Thirsty Souls. Paste, Pies, Puddings. Creole Cookery. Cakes, Great and Small. Meat, Poultry, Game, Eggs. Soups, Salads, Relishes. Vegetables, Fruit Desserts, Sandwiches. Pickles, Preserves, Coffee, Tea, Chocolate. When the Orchards ""Hit"". Upon Occasions. Soap and Candles.",
dome,"Domestic Cookery, Useful Receipts, and Hints to Young Housekeepers",['Elizabeth E. Lea'],1869,American,"Meats and Poultry. Soups. Fish, Oysters, &c. Vegetables. Bread, Etc. Pies, Puddings, Cakes, &c. Syrups, Ices, &c. Cakes. Preserves, Jellies, Etc. Cordials, Wines, Vinegar, Pickles, &c. To Cure Bacon, Beef, Pork, Sausage, &c. Butter, Cheese, Coffee, Tea, &c. Lard, Tallow, Soap and Candles. Miscellaneous Receipts. Simple Remedies. Food for the Sick. Domestics. Remarks.",
econ,"The American Economical Housekeeper, and Family Receipt Book",['Esther Allen Howland'],1815,American,"Complete title: The New England Economical Housekeeper, and Family Receipt Book.","PREFACE. This work has been compiled with a careful regard to the most economical mode of preparing the various dishes for which directions have been given; and is particularly recommended to the attention of those who would cook well at a moderate expense. Many of the receipts are new, having been prepared, or furnished, expressly for this work. Selections have also been made from various works on this subject, such as have been proved to be good by use. The Medicinal Department will be found to contain a select number of useful and tried remedies for the various ills and accidents that occur in almost every family. Although not intended as a substitute for the family physician, still, there are times when his attendance or advice cannot be had at the moment when most needed. It is then that the receipts in this department will be found to be of some service. In conclusion, we would tender our thanks to those friends who have kindly furnished some of their choice and valuable receipts; and of those into whose hands our little work may come, we would bespeak a fair trial before passing judgment against it."
engl,"The New-England Cookery, or the art of dressing all kinds of flesh, fish, and vegetables,",['Lucy Emerson'],1808,American,"Complete title: The New-England Cookery, or the art of dressing all kinds of flesh, fish, and vegetables, and the best modes of making pastes, puffs, pies, tarts, puddings, custards, and preserves, and all kinds of cakes, from the imperial plumb to plain cake.","PREFACE. IT is with diffidence that I come before the public as an Authoress, even to this little work; I have no pretensions to the originality of the whole of the receipts herein contained, it is due to those LADIES who have gone before me. THE improvement of the rising generation of Females, IT is not so much for the Lady BY having an opinion of her own, I would not be understood to mean an obstinate perseverance in trifles. It must ever remain a check upon the solitary orphan, that while those females who have parents, or brothers, or riches, to defend their indiscretions, that she must solely depend on character. THE American Ladies are solicited to cast the veil of charity over those imperfections that may be found. Should any future edition appear, she hopes to render it more valuable. L.E. MONTPELIER, 21st March, 1808."
epia,The Epicurean,['Charles. Ranhofer'],1893,American,"Complete title: The Epicurean. A complete treatise of Analytical and Practical Studies on the Culinary Art including Table and Wine Service, How to Prepare and Cook Dishes, an Index for Marketing, a Great Variety of Bills of Fare for Breakfasts, Luncheons, Dinners, Suppers, Ambigus, Buffets, etc., and a Selection of Interesting Bills of Fare of Delmonico's, from 1862 to 1894. Making a Franco-American Culinary Encyclopedia.","PREFACE. IN PUBLISHING this work I have endeavored to fill a much needed want, viz: -the best and most effectual manner of preparing healthy and nutritious food. This edition contains innumerable recipes which I have simplified and explained in a comprehensive manner so as to meet the wants of all. It suggests, also, many useful and important hints to those about entering the profession. The book is illustrated and contains instructions how to prepare, garnish and serve according to the traditional rules of our most able predecessors, and now followed by the principal chefs of France and the United States. In some instances, where it was deemed necessary to differ from the standard rules and methods in order to cater to the various tastes, changes have been made. The book is divided into twenty-four chapters: Table Service, Bills of Fare, Supplies, Elementary Methods, Soups, Stocks, Hot and Cold Sauces, Garnishings, Hot and Cold Side Dishes, Shell Fish, Crustaceans, Fish, Beef, Veal, Mutton, Lamb, Pork, Poultry, Game, Miscellaneous Entrées, Cold Dishes, Vegetables, Cereals, Hot and Cold Desserts, Pastry, Bakery, Confectionery, Ices, Fruit, Wines and Preserves. Not relying solely on my experience and knowledge, I have quoted from the most illustrious modern author, my much beloved friend and colleague, Urbain Dubois, ex-chef at the Court of Germany, and it gives me sincere pleasure to thank him for his generous assistance. The profession will acknowledge its indebtedness to the Messrs. Delmonico for the interest shown by them in developing the gastronomic art in this country. Many will recall the business receptions given to distinguished guests under the supervision and direction of Delmonico. Mention may be made of the following dinners: to President U. S. Grant, to President A. Johnson, to the Grand Duke Alexis of Russia, to Gen. Prim, to Charles Dickens, to Sir Morton Peto, to Aug. Belmont, to Giraud Foster, to Gen. Cutting, to Luckmeyer, the so-called ""Black Swan Dinner,"" to Admiral Renaud, to Prof. Morse, to Bartholdi, to De Lesseps, to the Comte de Paris, also the ball given to the Russian Admiral and Fleet, and the Greek dinner. I have entitled this work THE EPICUREAN, and have justly dedicated it to the memory of Messrs. Delmonico, as a token of my gratitude and sincere esteem. Their world-wide reputation continues to be maintained by Mr. C. C. Delmonico. In conclusion I feel that my experience will be useful to those seeking information in the gastronomic art. Hoping the public will appreciate my efforts, I remain respectfully, CHARLES RANHOFER."
epib,"The Epicurean A Complete Treatise of Analytical and Practical Studies on The Culinary Art, Including",['Charles. Ranhofer'],1894,American,"The Epicurean. A Complete Treatise of Analytical and Practical Studies on The Culinary Art, Including Table and Wine Service, How to Prepare and Cook Dishes, an Index for Marketing, a Great Variety of Bills of Fare for Breakfasts, Luncheons, Dinners, Suppers, Ambigus, Buffets, etc., and a selection of Interesting Bills of Fare of Delmonico's from 1862 to 1894. Making a Franco-American Culinary Encyclopedia.",
favd,Favorite dishes,"['compiler Carrie V. Shuman', ""1893 Board of Lady Managers Chicago World's Columbian Exposition""]",1893,American,"Complete title: Favorite dishes. A Columbian autograph souvenir cookery book. Over three hundred autograph recipes, and twenty-three portraits, contributed by the Board of lady managers of the World's Columbian exposition.",
fish,"What Mrs Fisher Knows about Old Southern Cooking, Soups, Pickles, Preserves, etc",['Abby. Fisher'],1881,American,"Breakfast Breads; Broiled Meats; Croquettes; Cakes, Etc; Pickles, Sauces, Etc; Pies, Etc; Puddings; Preserves, Spices, Etc; Roast Meats; Salads; Sherbets; Soups, Chowders, Etc; Miscellaneous.","PREFACE AND APOLOGY. The publication of a book on my knowledge and experience of Southern Cooking, Pickle and Jelly Making, has been frequently asked of me by my lady friends and patrons in San Francisco and Oakland, and also by ladies of Sacramento during the State Fair in 1879. Not being able to read or write myself, and my husband also having been without the advantages of an education--upon whom would devolve the writing of the book at my dictation--caused me to doubt whether I would be able to present a work that would give perfect satisfaction. But, after due consideration, I concluded to bring forward a book of my knowledge--based on an experience of upwards of thirty-five years--in the art of cooking Soups, Gumbos, Terrapin Stews, Meat Stews, Baked and Roast Meats, Pastries, Pies and Biscuits, making Jellies, Pickles, Sauces, Ice-Creams and Jams, preserving Fruits, etc. The book will be found a complete instructor, so that a child can understand it and learn the art of cooking. Respectfully, MRS. ABBY FISHER,  I take pleasure in referring, by permission, to the following of my friends, namely: WM. F. BLOOD..............415 California Street, San Francisco E.M. MILES................413 Montgomery Street, San Francisco WM. O. GOULD..............512 California Street, San Francisco MRS CHARLES S. NEALE.........1814 Sutter Street, San Francisco MRS. JOHN HARROLD...........416 Chestnut Street, San Francisco Mrs. W.H. GLASCOCK.....................................Oakland Mrs. G.H. COY..................431 Geary Street, San Francisco Mrs. JOHN C. FALLS...............................San Francisco Mrs. LOUIS H. VANSCHAICK........129 page Street, San Francisco"
fofb,Foods of the Foreign-Born In Relation to Health,['Bertha M. Wood'],1922,American,"Dietary Backgrounds; Mexicans; Portuguese; Italians; Hungarians; Poles and Other Slavic Peoples; The Near East: Armenians, Syrians, Turks, and Greeks; Jews; Applications.","PREFACE THE purpose of the study which resulted in the collection of the enclosed material was to compare the foods of other peoples with that of the Americans in relation to health. The inspiration for the work came at the request of Mr. Michael M. Davis, Jr. A deep sense of appreciation is felt toward many friends and fellow workers who very kindly coöperated. Acknowledgment is here given to a large number of men and women of different nationalities for their patience and help in teaching the recipes which had to be made many times before the measurements were standardized. Mrs. Mary L. Schapiro's article, ""Jewish Dietary Problems,"" was of great value in making the study of Jewish food habits. Many thanks are due to Miss Minnie Newman, of the Foreign Department of the National Young Women's Christian Association, for much information secured in relation to both the Polish and Hungarian diets. To all others who from time to time added valuable information, this piece of work is gratefully dedicated. BERTHA M. WOOD. BOSTON, December, 1921."
frch,The Frugal Housewife,['Lydia Maria Francis Child'],1830,American,Complete title: The Frugal Housewife. Dedicated to Those Who Are Not Ashamed of Economy.,
gohk,"The Good Housekeeper, Or The Way To Live Well And To Be Well While We Live",['Sarah Josepha Buell Hale'],1839,American,"Complete Title: The Good Housekeeper, Or The Way To Live Well And To Be Well While We Live. Containing Directions For Choosing And Preparing Food, In Regard To Health, Economy and Taste.","PREFACE. It has been the aim of the author, in the following pages to point out as clearly as the limits of the work permitted, the nature of the different kinds of aliment provided by the wise and benevolent Creator for the sustenance of His rational creatures, and to show the best methods of preparation now understood. Foreigners say that our climate is unhealthy; that the Americans have, generally, thin forms, sallow complexions and bad teeth. Is it not most likely that these defects are incurred, in part if not wholly, because the diet and modes of living are unsuitable to the climate, and consequently to the health of the people? Could public attention be drawn to this important subject sufficiently to have a reform in a few points--such as using animal food hot bread, This little work is intended to show the rich how they may preserve their health and yet enjoy the bounties of Providence; and teach the poor that frugal management which will make their homes the abode of comfort. Such rational and Christian views of domestic economy have never before been enforced in a treatise on housekeeping; and the writer flatters herself that this will be well received. The book has been several years in contemplation; various circumstances have retarded the publication, but the times seemed now to call for its appearance. May it do good, is the sincere wish of the AUTHOR."
good,The good housekeeping woman's home cook book,['Isabel Gordon Curtis'],1909,American,"Baking Powder Breads. Beverages. Breads Made with Yeast. Cake, Cookies, Doughnuts, etc. Cereals. Cheese. Cold Desserts. Eggs. Fish. Frozen Desserts. Hot Desserts. Invalid Cookery. Meats and Poultry. Meat and Fish Sauces. Pastry and Pies. Sandwiches and Canapes. Salads of Meat, Fish, Vegetables, Fruit. Shellfish. Soups. Vegetables.",
grea,"The Great Western Cook Book, or Table Receipts, Adapted to Western Housewifery",['Anna Maria Collins'],1851,American,"Soups and broths. Fish. Boiling. Sauces and gravies. Pickling. Vegetables. Bread. Roasting. Broiling, etc. Preserves. Puddings. Pies. Cakes. Fancy dishes. Beverages.",
gtte,"Good Things to Eat, As Suggested By Rufus",['Rufus Estes'],1911,American,"Complete title: Good Things to Eat, As Suggested By Rufus; A Collection of Practical Recipes for Preparing Meats, Game, Fowl, Fish, Puddings, Pastries, Etc.","FOREWORD  A large illustrative T. Behind the T, a woman places a finished pie on a shelf. The recipes given in the following pages represent the labor of years. Their worth has been demonstrated, not experimentally, but by actual tests, day by day and month by month, under dissimilar, and, in many instances, not too favorable conditions. One of the pleasures in life to the normal man is good eating, and if it be true that real happiness consists in making others happy, the author can at least feel a sense of gratification in the thought that his attempts to satisfy the cravings of the inner man have not been wholly unappreciated by the many that he has had the pleasure of serving--some of whom are now his staunchest friends. In fact, it was in response to the insistence and encouragement of these friends that he embarked in the rather hazardous undertaking of offering this collection to a discriminating public. To snatch from his daily toil a few moments, here and there, in order to arrange with some degree of symmetry, not the delicacies that would awaken the jaded appetite of the gourmet, but If, when gathered around the festal board, in camp or by fire-side, on train or ship, ""trying out"" the recipes, his friends will pause, retrospectively, and with kindly feelings think from whence some of the good things emanated, the author will feel amply compensated for the care, the thought, the labor he has expended in the preparation of the book; and to those friends, individually and collectively, it is therefore dedicated."
henr,Henriette Davidis' Practical Cook Book Compiled For The United States From The Thirty-Fifth German Edition,['Henriette Davidis'],1897,American,Henriette Davidis' Practical Cook Book Compiled For The United States From The Thirty-Fifth German Edition.  Containing An Appendix Of Receipts For Dishes Prepared In Styles Peculiar To Cooking As Done In This Country.  With The German Weights and Measures According To The American System.  Supplemented By An English-German And German-English Vocabulary Of Culinary Terms.,
hosf,The Hotel St Francis Cook Book,['Victor. Hirtzler'],1919,American,,"PREFACE In this, my book, I have endeavored to give expression to the art of cookery as developed in recent years in keeping with the importance of the catering business, in particular the hotel business, which, in America, now leads the world. I have been fortunate in studying under the great masters of the art in Europe and America; and since my graduation as Chef I have made several journeys of observations to New York, and to England, France and Switzerland to learn the new in cooking and catering. I have named my book The Hotel St. Francis Cook Book in compliment to the house which has given me in so generous measure the opportunity to produce and reproduce, always with the object of reflecting a cuisine that is the best possible. The recipes in my book calling for wines and liqueurs for flavoring may be followed by those whose legitimate supplies are not used up; and where these cannot be had there are non-alcoholic substitutes available with the flavor near perfect. The juice of lemons will serve in many cases to give agreeable flavor. The spaces left open in the pages of the book are for the purpose of affording convenient place for writing in additional recipes. The paper on which the book is printed is specially selected for this purpose. VICTOR HIRTZLER."
hote,"Hotel Keepers, Head Waiters, and Housekeepers' Guide",['Tunis Gulic Campbell'],1848,American,Dinner. Drill. Division of Work. Lunches. Dress. Regulations for General and Squad Drills. General Remarks. Explanation of Plates. Courses. Recipes. Conclusion. Certificates.,
